ID,Target,text_length,length_bin,fold
eEMNnCTYJgaPRPW6,for or by reason of the said Whiston not loading of the said twelve,67,3,1
lX9s1LYu4gomLBB0,Charles the second by the grace of God of England,49,0,1
trQe5eMPRmws6XCS,Charles the Second by the grace of God of England,49,0,1
vPp8Ebgi7VUqkQsQ,of twenty seventy acres of land as aforesaid and all and singular the,69,3,4
aI94QnYrXA1qRrZi,"and for Euer guift claime, and Confirme unto my Said Son",56,1,3
W84Lw7FYVOL8tFrx,age portion to and with the Said Elizabeth Vaughan Now in -,59,2,3
f8QIolG5Xe3f2ZYp,and one rood and all and Singuler other the premises hereby,59,2,2
VbZcY4RkcIKyFzVc,the Full Sume of FFive hundred pounds Currant mony,50,0,1
P9tEpZZRztDeSdkC,to have and hould all and singular the premises with the apurtenances unto the above said,89,4,3
9wdssHO7eGmXOlWg,estate of the deceased Earle of Carlyle whereof all that tyme there was fare ~,78,4,3
G8Lbj4koER0KdcT0,the said bill of exchange to which the said Barton made answer,62,2,2
2ozi1Own8zA4ADUC,I John More doe assign & sett ovr: all my whole right title & interest,70,3,4
7AjOpUt60TfQMKRy,peny to me oweinge as aforesd & evy or any pte thereof as to my sd,66,3,2
fsGQONvf08WpRtoZ,executors or assynes the sume of Eight thousand pounds of the like tobaccoe in manner and forme followinge,106,4,1
EnSU1hjHkeOgYelz,and Impositions whatsoever. And the Said Henry: Hutchin,55,1,0
CoUUBxj5EfFlDl03,Mcht & Nathan Gragly of Barbados mchant Ten acres of land lying & being in,74,4,2
maPDcMdzp57pydiF,This Indenture made the the twenty and nineth day of,52,1,1
Yid6ZCdtNOBegRdJ,the premisses by vertue of these presents In witness whereof I have hereunto,76,4,2
BayKI3G7iytIBi9V,"Maurice Morgan , John Earle , John Seberry",42,0,4
J3ZY5fFgDuk7sker,Ented Know all men in by these psents that I Stephen Howe of Darham in the,74,4,1
aqTw9otCG3kCDQiu,or Meant mentioned or Intended to be Granted & Conveyed unto the s^.d Benj,74,4,1
nHG8uqzC6WToOtUF,menconed or Intended to be herein and hereby granted bargained and,66,3,0
dp8N7j310savSZht,or by them pretendinge any right title or interest therein In witness whereof wee,81,4,2
VC4fyNsDO9j3kOZ7,To all Christian people to whome this psent writinge shall come know ye yt I John,81,4,3
3NyZ0vCSVx2mWPFY,pay unto him five hundred pounds Sterl. part of the Port,56,1,3
4djkWNdRfrCQBFMC,merchantable cotton wooll that the aforesaid thirty acres of land is not formerly mortgaged,91,4,2
C0BJGnJUYzHLYHjw,Singular the premisses with the Appurtenances,45,0,1
AMQB9QlyeAJq0wvk,heires executors administrators and assignes for ever without,61,2,2
jlLJjhbNXmxOWjt5,"by these presents, that all and singuler the premises, now are and soe shall forever",84,4,4
JesQeqgmULF8vwiQ,apptening unto him ye sd Benjamin Andrew his heires Exrs admrs or assignes for evr,82,4,0
ejDLHm5h4lWWqiJR,lyeinge windward of Edward Browne and adjoyninge upon,53,1,1
UL8ikhp4e6Ec55fN,The bill of Sale on the other side was this acknowledged,56,1,3
3Q3jk3jlXTdAttUX,wch is due to us or either of us from Thomas Wall Willm Bradshaw and Wm Wilcocks,80,4,1
Np9cR4uy6Y8hyqIU,unto the said Thomas Wall his exers admistrs and assignes att his or their will and,83,4,2
OkjmIPbenQC9clb2,and Effectt of the Said Deed in the presence of us whose,56,1,3
ztxc2RjJlYUpgpqi,booke or other wayes and all and singuler w^tsoever my said,59,2,2
ggux4tiyX0W3iPRj,agreed bargained and sould unto John Curtis twentye acres of land adjoining leeward to,86,4,4
bomhHnAf3YeSmp0P,administrators or assignes shall well and truely pay or caused to,65,2,4
mUep3DpDetxco8e1,of them ye said Christopher Lyne and Elizabeth his wife,55,1,2
sb6H0XxGZGCFcs5P,more or lesse or there aboutes accordinge to the bounds withall profitts comodities,83,4,3
bCnqDIE4YWoUwthr,"Exec:^rs Adm:^rs and assignes, That if the Said Richard",55,1,1
HvLmggaMTeLY1m5K,for them before delivery which the said agents on behalf of the said company,76,4,3
rLcW2ctSM1dpERkM,Reeve and George Read to be performed the abovesaid Richard,59,2,3
FUQEsJR1UFDadEJJ,inst rents & dues as shal be come due from the said,51,1,2
t69q7vZgYrY7nBFW,or may accur or arise to the said appearer or any of them therein,65,2,0
fotfkvVpPZH1S75X,being received of the said m^r Abraham Chapman,46,0,0
yEPSBtKigueT63YI,for and in consideracon of the some of the some of foure thousand pounds of,75,4,4
crGEocrxhLquvVGA,Stephen hath hereunto put his hand and seale,44,0,1
ZAySEi2vlgtwlTB4,admistrs and assignes all our parte of that twenty acres of land fallen,71,3,4
fZyQb4BQmKk9oeH7,"Executors, and Administrators doe Covenant, grant",49,0,0
HthoIQphlDBcFIXp,God that hee did See the within named James: Keith an,53,1,3
KuxK31gOkAHfocFH,"in habitance in feesimple, And hath in himself good -",53,1,0
wFDxzNUskXMHtZea,"appointed for payment of the rent as aforesaid, and if it shall happe",69,3,4
IpxyMLLEWhlwjXc1,Willm: Cumplin a Constable by a Ishams warrant,46,0,1
ZfIICfPh1tHBcd3P,the lett trouble hinderance or molestacon of by or from any,59,2,3
OuEGYmMT09IcmEbn,Togeather with all the houses Edifices building eas,51,1,1
rs063BLUtxNXz7qJ,Gent am become bound & engaged in one bond o^r specialtie betwix ye date,72,3,1
sTyVL2nCeZrDPJFw,written Deede of sale to the use therein expressed,50,0,4
6WmaDed2Ie5WBKVk,Provided nevertheless That This Grant and Confirmacon,53,1,4
tXHgjWYslgfsbYJR,have hereunto sett my hand and seale this foure and twentieth day of,68,3,1
THZWM5WJ8LJFTJ52,them In testimony whereof ye said John Cooke,44,0,0
f0hic7FbgHSQbSvO,This 25:^th day of November 1674 made oath,42,0,3
EmgbnkOsfE2htYzE,former bargaines Sales guifts grants leases feoffmts : mortgages Judgmts : Execucons,84,4,2
CZaeT06qk4B29Qib,particular & private debts & duties aforesaid In Witness whereof ye,67,3,4
nD0ymFgvn0LWHG2u,John Smith of the Pish of S^t James in the Island of Barbados carpenter of,74,4,3
8uwnh2ScFmF5elja,Costs and Damages that may be Comemed and arrea ag,50,0,0
6XBathpqHldH83Zq,this Island of Barbados have or did tender to the said Appearer,63,2,4
sBYwHvRVCJxz0txf,"payments, tenders, and Receipts of moneyes",42,0,3
X9iBG63d1hHjtkku,Ford his heires executors administrators & assignes to enter upon possess & enioye as his,89,4,3
WvicwIv0Pl1XRDSE,To all Xpian People to whome theis prsents shall come greeting in our Lord God Everlasting,90,4,4
WyjGNFSmwgHMZykj,debts in the Island of Barbados in the parts beyond the,55,1,1
XvlEjHDVybUpjaG6,To All Christian people to whom thise present writing,53,1,0
eZG1CxzYLlB5S5Li,Intr Ut Supra -Signed by- Gyles Jenkins -,41,0,3
s6HN2J1KWvNzw7sA,Sealed and delivered in the presence of John Gregory Thomas clarke,66,3,2
aQHPYQFW9ktqEGp1,Land be it more or be it lesse being Butting and,48,0,1
ZhAsYXrTBA0GrZEg,Assines To and for the recovering obtaining,43,0,1
j2LurOY7wQORapJ7,wise appteyninge To have & to hould the sd Moyetie or halfe,59,2,2
QUi3QTPXo3RN2M7o,edifices and buildings upon ye said land erected -,50,0,1
1oHGkWjXggtZVvCF,Benjamin Wright his heires Ex^rs Adm^rs or assignes or assignes or any of,73,3,3
ctrKB2ty7ejUNoKd,hereunto moving but principally and more especially for and in Con,66,3,3
1RVuCVydhJZXHoar,"Slaues viz^t eight men negroes named old mingo, Young Mingo-",60,2,3
P3BeMsw0GJEc732E,part or parcel thereof the Invacon of the forraigne enimye excepted &,69,3,0
uSaaRnyLguxN3qlJ,the said Capt James Futter his heires and assignes forever provided always that in,82,4,1
6o0C4w7bAdzGxpyf,or thereabouts to be delivered unto His and W^m and Thomas or their assignes with the said,90,4,2
YOB1qMVWwkwqKYlb,hundred thirty Eight tobaccoe due to Mr Mathew Willet & the same,64,2,3
MwUzVCGmj8nKSPVY,Matthew Greene the aforesaid Land & premises and every part & parce,67,3,2
jlsaq14SPRnlAggI,and To Hold the said twentie acres of land to them the said James,65,2,2
fegDvq4KqsKvEPsk,of these presents Inwitness whereof wee have thereunto set our hands & sea,74,4,1
IcNepOR6soVfBgWO,and find all to contayne seaventy and three acres according to the statute measure of England,93,4,2
bvNtQfVwBFheDCun,Eviccon or hinderance whatsoever of him the said Richard Willi,62,2,2
YYLWa2J8KZyrX9Ly,ssignes and every of them freely and absolutely,47,0,2
JalL0RUsqS0y41i5,"Second by the grace of God of England, Scotland,",48,0,3
yakxcIlR15AgfWkn,maner of thing +things whatsoever now thereon growinge + being or any,69,3,0
eSC9eMR9O9e5yo7Z,"now or late of Richard: Howard, upon the Lands of",49,0,3
pLl5zyMnE21azoi0,hatchetts two howes two cotton baggs and a paire of bedsteads,61,2,3
jC3LYWViPYtzpjb5,To have and to hold the said parcell of land with the breath aforesaid,70,3,1
cC6ZKPmuMEGj9dCg,& Charles Wilson to have and to hold to ye abovesd Jo Gunning his heires Exrs Admrs or ass,90,4,4
A3HYU3omvwSCaZFC,At thirty days sight Pay my first Exchange my second and third,62,2,3
btXc5htjqD774Z6n,parsell thereof to ye onely use and behalfe of the sayde George Greene,70,3,1
48MQ0jL6VMY8UJpn,tunes of Sugar Barbados as tunnage and fifty bags of cotton two,63,2,4
n1oDC215ogiNEm48,"Richard Fawcett, Thomas Clarke, W^m Bluant",42,0,0
xvDyStDxA2P2X17z,thereof Doth hereby Acquitt and Discharge the said George,57,1,0
1vRG2yH4TcqSmMqj,Nicholas Rice North togeather with all the houses,49,0,2
9JvRXcUlofW9i70R,of Febuary 1641 - Sealed and delivered in the presence,54,1,3
OJhRQ83sCjOmDnwA,Gent for a valuable consideracon to me in hand paid and,55,1,3
rfsOMe2VudDAXl3O,the condicon of this obligacon is such that if the above named Henry,68,3,1
Vf0sgib9T70aFqO7,and either of them theire and either of their heyrs of,54,1,1
KIOp1Y9WPWuNARA6,Comander of the ship called etu William which Appear did,56,1,1
xqfxQ5PkdzOtUSWo,like cotton wool Ano 1642. And three thousand first day of June after And lastly three,86,4,1
o5bo2OIsyMgRlJgx,Sterling money of Barbados to mee in hand paid & secured to be,62,2,4
ORKkWTLEdtXunH9B,signe seale and as his act and deed deliver th,46,0,3
isjAKVuE4uo1SIve,Vertu^e of ffull power and Authority unto me granted from his most Sacred,73,3,3
xpPakfrXzwQzzLmH,w.^th the s^d Thomas Crosse & John Lastilas theire heires executors administrators,82,4,1
zGccciTvZEHDjM5G,recorded nlt: have taken and freighted the shipp called the Metior of Wover of Nathaniell,89,4,0
tCBJ8f93Glz084Gm,writeing under their hands and seales had and made between them haveing,71,3,4
qLAsM04P89Hwzbhl,of the sume of six hundred pounds of Tobaccoe in hand received as also for,74,4,4
6ErMq1Ryw1OnL1Gs,presents doe give grant bargaine and sell unto Thomas Macolley aforesaid his,76,4,0
UDOQSw2eYIzn9B0n,the recovery receiveing acquitting or dischargeing of the premisses shall be requisite,86,4,2
11iuHKmFVcYPIuRH,Tobias Foote of the Island of Barbados Planter for full satisfaction,68,3,2
IMAXPyAav6pslHfy,St michaells in the Island aforesaid containing in measure thirty,65,2,0
INWVUFR8NU0fCC5X,"meanes, assent, consent acte or procurement and I the sayde Anthony",67,3,0
OKnxmKgOapGPXLeS,"Greeting in o^r Lord God everlasting , know ye that",51,1,4
ZiZWgpelxejKZpXf,any other pson or psons whatsovr claymeing or ptending any right title,70,3,2
GwhdWP8hCtKVaDvp,hereunto sett our hands and seales this xvi^th day of November Anno Domi 1639,77,4,3
j3m24ehi8mj7TCsX,for the use or uses benefitt or behoofe formerly expressed acording,67,3,1
SUHOikQqiZVhzIjA,breadeth north and south 75 Poole The corner trees marked.,58,1,3
9bVFZcBcbFr8yg1r,man servant named Howlett one boy called,40,0,2
H7nLSXKRFVK1ITr1,Enemy expected In witness whereof I have hereunto sett my hand,62,2,4
uDMih4ThyivbzSZL,Comander of the ship St. Robert and company did plunder,55,1,0
yuOHmE0mTFMTlEsU,said Morgan Powell my heires exers administrators or anie other person,70,3,3
XN6E32VUdTiHnJuQ,1647 of Barbados Mchants Joyntly & servally wth our Joynt and Servall heires Exrs & adrs,88,4,0
UpwQWMO0k03nTAgo,before had from Walter Powell of the said Island planter doe hereby,67,3,0
8ZMhpQyD4Qu8M8g6,Westward in length one hundred twenty and one,45,0,0
1s8Yupy1sNKzgTdF,whatsoever will warrant and by these presents,45,0,1
zl54SNMfCkgFs8kM,"p^rmisses for ever more w^th,, out the lett hindrance deniall",61,2,2
eNsUTM0DLAOMvIyE,to say fower thousand pounds of the like condiconed cotton att or on the,72,3,4
OJtuqPDbTO1uaObw,"for Ever, one fourth part of ^all that plantacon Scit",53,1,2
yjuEwa1rkltz3qWd,date at Westminster the fower and twentieth day of ffeb^ry,58,1,1
mhHgNx3WIGoDXOQn,bee in the yeare of our Lord God 1642 at a convenient storehouse by the seaside,79,4,2
TBkSCwCcU36wNBrO,twenty acres or thereabouts fallen and unfallen situate lyeing and being in Christ Church,89,4,0
M9wBW3SDiQfFyYXe,ye said Stephen Thody for ye consideration ~,44,0,3
OjZ3YibcJTPhbYbg,"enfeoffed and confirmed, and by these presents doe fully clearly",64,2,1
8RljdKCx8vRbzgDX,the date hereof To the only use & behoofe of them the,53,1,3
YYARFiOtpqQjTBYy,To all Xpian people to whome theis presents ^writeinge shall come Michaell Cooke of the,87,4,0
lxumDhqQ3FH9OuMy,or any other plantacon that the said Richard shall come to live on but not to cally am,86,4,0
JUgQhXGbQJZlKPVo,"if I the saide Mary: Sanders my heyes, Exec:^rs Adm:^rs or -",60,2,4
jnnZVmVPaxU2KgRY,posses and every all and singular the premisses and there appurtenances and,75,4,2
l063vbDUyBBc7yKP,hold the saide Plantacon Lands tenem:^ts negre,46,0,3
PT3AenHi7AYJEcNX,for ever and we ye sd Tho Merricks & Adam Morgan doth by,56,1,1
Pom37V7sjiunLo8N,to whom & as the said Othniell shall dirrect or appoint the Same,64,2,3
MazVb1Mh2FXwcDvh,"P the Grace of God of England , Scotland , Ffrance , and",56,1,2
wJfMMYu3yasAyXfU,bargained and sould Audley this pnts doe give grant bargaine and sell unto John Holland,87,4,2
pVGFW0NPc1GUemR8,foure thousand and ffive hundred pounds of Lawfu,48,0,1
8AwC3HmCSePRxg9Y,"Sandiford and Edmund Sandiford appeared be fore me, and",55,1,3
uUl0TMCWNKnTqM2A,March In any of the said yeares from the day,44,0,4
pyseFPAu9SKib610,"called Peeter, Robin, Nick, Mary, Phillis, Priscill",51,1,1
RWUXQR1iOg5OPctY,standing or growinge to them the aforesaid John Robert and Wm their heires exers admistrs and,93,4,4
ro7qE721txjtvUw1,before then sealinge and delivery hereof doth remise release and forever,72,3,4
d6XfPKoIVU27c66l,nyne as alsoe another bill of fifteene hundred pounds of cotton beareing date w^th theis,88,4,4
uKAotL71WbWb7fLC,before Rehearsed and thereunto Belonging to,43,0,4
kaACSMEscosTsS3D,admistrs and assignes forever without the lett suite trouble or denyall of mee the said Thomas,94,4,4
Ahet7zqqyTPf9gL2,to have & to hold the foresd Twentie acres unto him,51,1,1
fGa0q4XicRjkmauX,Sold aliened Conveyed enfeoffed and Confirmed And doe,53,1,4
VV5UwnA5P2GjkloN,any manner of right title or interest in or to ye sd pr bargained prmiss or any pt,82,4,0
9W3yiUxodnd4ir2e,Parcell of Land Conteyneing by Estimacon foure and,50,0,3
JVJAVgXOKwRDSQB4,"William Hilliard Deft the deft to delivr to the pl^t,, one man servant w^th the",79,4,4
3KE4wDpnX0BJXPWl,In Witness whereof Shee the Said Madam Katherine Be,51,1,4
spfNiCspZflABAwz,said John Burrows and my heires ye said granted,47,0,3
7Ei4U1aODW1oJ3T2,us hereunder witten as wittnes our hands this 19^th day of ~,60,2,1
vlohjckhLew1bXwF,in the said will and that he had heard of the Kings grant or Lease,66,3,1
eventWQyxdITQAuS,the said shipps hire the said Appearer further,46,0,3
XtSzA1aS8OyoGTY0,"heyres & Assignes, immediately at the Day of the",48,0,2
dPqW0hdkDzEtEV8W,Everlastinge Know yee that I the said Bennett Allett for and in consideracon of,79,4,4
QYjkphcuKiCqxlnJ,other Pson or Psons whatsoever lawfully haveing or claymeinge from by or under,78,4,0
dqZ9oGgZDCNM4VG7,To all xpian people to whome these presents,43,0,1
JoCtrXreXFkorwBX,thereof doe for myself my heires exe^rs Ad^rs & ass bgaine sold,63,2,2
bx3M3TnlqSeIoiRV,Twenty Feet in breadth a little more or Less and in Length from I the said Aree,79,4,1
ZOatEE55qiuQIx9N,To all Xpian People to whome theirs prsents shall come Henry Voadar and,71,3,4
cuwMP4psiMzEQhQe,and administrators for ever by these presents Hath granted bargained sold,73,3,2
3sxH9rFtmZzlhTmb,Anthoney Terrell all that my plantacon late purchased of one William,68,3,3
a2vobEfkl6Ac3d5J,dues duties claymes demands or Incumbrances whatsovr:,53,1,1
IQUTEJsjQSEEvguo,Executo^rs administrat.^rs and assignes shall a,47,0,3
NRC3nf5giWhLUyw9,lynes adjoyneing on John Lawrensons plantacon and the foot - lyne upon the llyle and,84,4,3
BzslBC3Y4o34xeZj,Eustace Hatch his heires & assignes for evy: the above named,60,2,0
UQtvTDQLHHK4rW5i,engaged and mortgage the above menc^oed xx^ty acres of Land withall and,71,3,0
XRRpqOq44BAzgcwg,theire owne proper Cost andCharges plant or cause to bee planted upon some part of,82,4,1
3wDD4BlRA4iyp8zC,hereunto sett my hand and seale the 17^th day of June 1659,58,1,2
dBKofM1BpbY2p7NM,and Jon Robinson windward and butting upon the land wch was,59,2,0
DmBEKU1M4df04aiP,"Thomas x^ Sign Vyntton, Richard Credge",38,0,0
69p7rZuelMHjMPVq,before the moneth of November which shall bee in,48,0,4
5TTXn3gECMavptc6,recovery discharged also or other wayes well and Sufficiently,61,2,4
XIMZRt7YnoPiFA2m,Greetinge in Our Lord God Evlastinge Know ye yt I the,53,1,2
hKEIOZXLyI4eiyzA,"Deed, the said Elizabeth acknowledging",38,0,4
6XmBlLjsuZMQIKET,that his parcell of Land Lyeing and being in the Sai,52,1,1
LLuAmVR5uoXhuogp,planters for good and valuable consideracons us thereunto moveinge Have granted,79,4,1
cJdOKPGNYChD5oPo,that is y^e said Robert Hollings shall be minded to Learne off,62,2,2
yDOQHhRfQZ0bIZ87,warrant and for ever Defend by these pnts And the,49,0,3
JdAQeZUNdjipeRhz,Johnstone his heires Executors Admrs & assigns forever. with,60,2,0
cfzujCAf7oAQJetL,or more under him or them to revoake at his will and pleasure,61,2,0
KOeFDGxdF2KkxkqX,their heires & assignes & evy of them yt they the sd Stephen Tho James & Martin Noell,85,4,2
yuAlAcaJaxLIbQ3h,Rous of the parrish of S:^t Johns w:^ch Execution w,51,1,0
Z8LokcFZ1YWTcK94,Have given granted bargained and sould and by these,51,1,1
PAGFQarUDULAzQP2,currant money of England to him in hand by the said George,58,1,2
qErfwW1f1BVojNuB,the day and yeare first above written : . the mar,49,0,4
QOpmX7bZjB92Ow7V,five pounds att ye house of Edmunds Keysar the 1^st Nov^r 1640,62,2,1
cV7NRWoBFjWP8v5c,Delivery thereof was owner & Seized of the P^rmises in fee & had pers,69,3,0
EQUdngFutoHbXl4C,me my heires executors and administrators for divers good causes,64,2,4
BY7CP8pVWx0mJqQi,had made comitted and done by from or under,43,0,2
wEIYFw6KGuyrlbuM,every part and pcell thereof Together with all the profitts and comodities whatsoever,85,4,1
qMBQQmXN4YiZXSsm,convenient storehouse neare the seaside and for the better securitie I,70,3,4
VOBXTUIBGh34hetY,assigns yt he shall & may peaceably & quietly possesse,54,1,3
CrpQuvnD9Mvb6SiP,lands of Capt^n Thomas Ellis in the parish of S^t James To have and to hould,76,4,1
JyvxZH143hyDwWNl,being four hundred negros and hath brought but one hundred,58,1,4
klGWOini4uRn1tGQ,thereunto belonging the which Land or Ground,44,0,0
ZMDkoUybjsYsBWV1,ially for my intire affection and care have given granted passed,64,2,3
rp4H5pJTa7wJSk7A,one Morgan Powell tenant in the sd lands together with all houses,65,2,0
RoG6xCT4KjHkzZjV,Sand Four hundred pounds of musc:^o Sugar to mee paid an,56,1,1
3QRn6pjkjOSX0CoS,unto M^r Revell thirty tunne of baske thiese said goods was to the,66,3,1
b7HjDFQcuzrzh7RV,& for ye accompt of Mr Roger Pill & then att ye arrivall of her,63,2,3
oPj6r0jedkYtMV0K,aforesaid have hereunto sett o^r hands & seales. This sixteenth day of Novembres Anno Dom 1642,94,4,1
ZANKTAgUUXmhv1kT,the above bargained premisses unto the abovesiad Richd,54,1,1
2GVTk6xsn89eHnZ0,whatsoever had made comitted or done by the said Richard Seawell his,68,3,1
GjqXnDwNzHVzIRBl,"othere pson or psons whatsoever, by my meanes, act, title",57,1,3
RGhk1U3NC8ThYLiQ,Hartley did then and there make answere that hee the,52,1,1
9acI3ilidwpiVkcI,Side of these presents before Signeing -,40,0,1
7ZHsmcYMGHSoNkRc,Junii 21st 1644 To all Christian people to whome theise pnts shall come greetinge,81,4,3
pW2d1LV7gleGujE5,known and manifest unto all Christian people that upon the,58,1,2
TgNODagxcUgKBFM2,thereunto belonging To have and to hold the prebargained,56,1,3
ppLPLXWGkskyzQjg,Phillips in the said Island and conteyning by estimation two,60,2,4
ovO0ctCAoK4kInXO,ponds privileges commodities & advantages unto ye Same any ways ariseing,72,3,4
tanz0KqG2QfQhlPA,on or abouts the foure and twentyeth day of July one thousand,61,2,2
puiTYVFR8BZlYZwv,"~Add~ Anderson, To have and to hold the afores",46,0,1
q7i5BfOXzAQArEeb,yeare of the Reigne of our Souereigne Lord Charles the,54,1,3
msrIuXCQhrjkrha9,the prmises to doe say pursue implead seaze requested attach arrest imprison and,80,4,0
0pAcgRa77LVPNKpY,Scituate in the towne of St Michaells at this Island,52,1,2
1OQyYV09ehJBG33b,the same And in witnes whereof I have hereunto,46,0,0
REsL1mjwfhqSYLDH,of land conteyneing Thirty & six Acres of Land or thereabouts,61,2,1
HYZAZH2isRdweAyw,of land with five men servantes and one maid servantes for the,62,2,3
HEbMU8OlL2vgARkJ,"upon the Land of the s^d: Nicholas Campion, East upon",53,1,1
AN58NPhn9jW23OLp,in time and place as of right shall appertaine,46,0,4
mnXyL0hflG6LUHhk,right title or interest unto the aforesd forty acres of land or any pte,71,3,3
Lsheu7397XAncjLu,one hundred pounds and fiftye of Cotton neett for the use of the,64,2,3
zUbnjmuGteIYalNu,send Greetinge Know ye yt I the sd Jon Bonner for & in,54,1,2
MO5lseB8OgfMw3rc,"of Octobe 1675 Johns in the Island of Barbados Gent, Sendeth",60,2,2
ckVIKetfzSh1iUJr,of Barbados planter sendeth greetinge in our Lord God Everlastinge Knowe yee,76,4,1
YErAYWX2JPimutA3,Shall come Send greeting In our Lord God ever lasting Knowe ye that,67,3,3
ysa9Bsfjm7S8YVPe,three pounds fifteen shillings & Nine pence,43,0,2
gvtuikU8BYO9FPul,his heires exers and assignes forever In witness whereof I have hereunto sett my hand,85,4,0
9aQEBvblq4ekRW2a,be by the ptie deceased by his will in Writinge or otherwise be Expressed,73,3,0
BLvb21REZlvMlwcg,Gentl: of the other part: Wittnesseth That the Saide Thomas,59,2,2
zMKau0vJu9w6FYxL,Concerning or by reason of any action suit non suite pceeding,61,2,3
vxS3klyteViqy95x,premises with their and euery of their up,41,0,1
vq3qKZ8XFNTUhl5C,& joyninge to ye land of the Welchmans folly & adjoyninge to ye land,68,3,2
B6XjP7K6kueJI8Uh,1647 Imps to a debt Captn: Geo Richardson past for to Mr Jackson Stiller 42 0000,80,4,1
qugjl5q3tqeXGLNE,"John Bradshawe David Jeffes sign x W^m Vittrey, Symon Harper",60,2,4
qAfF4vjc4ipGMF9r,and buildinges with three servants for the tyme they have to save and,69,3,3
lbTdtygujA5uqy80,unto the same belonginge or appertaininge unto them the said William Townes-,76,4,0
nq4AeeHMFHFmCjHl,Dumesnell - to - our Soverigne Lord King Charles the Second of England,70,3,4
5zRUeTPWyqhCbavm,singlr: ye debts Dues somes or quantities of Tobaccoe,53,1,0
TBVUAtdu7OM4KEOR,and John Johnson his Agents or ffacto:^r and all other the,58,1,3
7RlGPPe4BI8Kyaay,Baird there shall be due acceptance And due paym^t made of,58,1,1
a8xYoGsr4Qqt15Y6,selves either to other theire heires executors and admintrs in one hundred,74,4,2
1LsMAGOsnBq0wVpH,To all Xpian people to whome theise prsents shall come greetinge Knowe,70,3,4
TPdI4dn8HUGKOWUV,Proved before me by M^r Rich: Andrewes this 26^th March 1659,60,2,1
hWddOaByuIsGs999,To all Xpian people to whome these presents shall come to-,58,1,4
V4lGCqOjZxAuz956,"aforesaid To Have , Hold , Receive , perceive",45,0,0
